# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4.1000 intersting1 1000 1 0.1000 B1 C2 299 N B1->C2
4.2000 R_ackr_intersting1 5000 1 0.1000 C2 B1 299 N C2->B1
4.3000 R_intersting10 5000 1 0.1900 C2 B1 299 N C2->B1
4.4000 R_intersting11 5000 1 0.2800 C2 B1 299 N C2->B1
4.5000 R_intersting12 5000 1 0.3700 C2 B1 299 N C2->B1
4.6000 R_intersting13 5000 1 0.4600 C2 B1 299 N C2->B1
4.7000 R_intersting14 5000 1 0.5500 C2 B1 299 N C2->B1
4.8000 R_intersting15 5000 1 0.6400 C2 B1 299 N C2->B1
4.9000 R_intersting16 5000 1 0.7300 C2 B1 299 N C2->B1
5.0000 R_intersting17 5000 1 0.8200 C2 B1 299 N C2->B1
5.1000 R_intersting18 5000 1 0.9100 C2 B1 299 N C2->B1
5.2000 R_intersting19 5000 1 1.0000 C2 B1 299 N C2->B1
5.3000 R_ctr_intersting1 5000 1 1.0900 C2 B1 299 N C2->B1
5.5000 R_R_ctr_intersting1 0 1 0.2000 B1 C2 299 N B1->C2
16.3000 R_ackr_intersting4 5000 1 0.2000 B1 A0 299 N B1->A0
16.4000 intersting4 1000 2 0.2900 A0 C2 299 N A0->B1->C2
16.5000 R_ackr_intersting4 5000 1 0.1000 C2 B1 299 N C2->B1
17.7000 R_R_ctr_intersting4 0 1 0.1000 B1 C2 299 N B1->C2
17.8000 R_intersting40 5000 2 0.1900 B1 A0 299 N B1->B1->A0
17.9000 R_intersting41 5000 2 0.2800 B1 A0 299 N B1->B1->A0
18.0000 R_intersting42 5000 2 0.3700 B1 A0 299 N B1->B1->A0
18.1000 R_intersting43 5000 2 0.4600 B1 A0 299 N B1->B1->A0
18.2000 R_intersting44 5000 2 0.5500 B1 A0 299 N B1->B1->A0
18.3000 R_intersting45 5000 2 0.6400 B1 A0 299 N B1->B1->A0
18.4000 R_intersting46 5000 2 0.7300 B1 A0 299 N B1->B1->A0
18.5000 R_intersting47 5000 2 0.8200 B1 A0 299 N B1->B1->A0
18.6000 R_intersting48 5000 2 0.9100 B1 A0 299 N B1->B1->A0
18.7000 R_intersting49 5000 2 1.0000 B1 A0 299 N B1->B1->A0
18.8000 R_ctr_intersting4 5000 2 1.0900 B1 A0 299 N B1->B1->A0
18.9000 R_R_ctr_intersting4 0 1 0.1000 A0 B1 299 N A0->B1
28.2000 R_ackr_intersting7 5000 1 0.1000 B1 C2 299 N B1->C2
28.3000 intersting7 1000 2 0.1900 C2 A0 299 N C2->B1->A0
28.4000 R_ackr_intersting7 5000 1 0.1000 A0 B1 299 N A0->B1
29.6000 R_R_ctr_intersting7 0 1 0.1000 B1 A0 299 N B1->A0
29.7000 R_intersting70 5000 2 0.1900 B1 C2 299 N B1->B1->C2
29.8000 R_intersting71 5000 2 0.2800 B1 C2 299 N B1->B1->C2
29.9000 R_intersting72 5000 2 0.3700 B1 C2 299 N B1->B1->C2
30.0000 R_intersting73 5000 2 0.4600 B1 C2 299 N B1->B1->C2
30.1000 R_intersting74 5000 2 0.5500 B1 C2 299 N B1->B1->C2
30.2000 R_intersting75 5000 2 0.6400 B1 C2 299 N B1->B1->C2
30.3000 R_intersting76 5000 2 0.7300 B1 C2 299 N B1->B1->C2
30.4000 R_intersting77 5000 2 0.8200 B1 C2 299 N B1->B1->C2
30.5000 R_intersting78 5000 2 0.9100 B1 C2 299 N B1->B1->C2
30.6000 R_intersting79 5000 2 1.0000 B1 C2 299 N B1->B1->C2
30.7000 R_ctr_intersting7 5000 2 1.0900 B1 C2 299 N B1->B1->C2
30.9000 R_R_ctr_intersting7 0 1 0.2000 C2 B1 299 N C2->B1
31.6000 intersting3 5000 1 0.0900 C2 B1 299 N C2->B1
31.8000 R_ackr_intersting3 0 1 0.2000 B1 C2 299 N B1->C2
31.9000 R_intersting30 0 1 0.2900 B1 C2 299 N B1->C2
32.0000 R_intersting31 0 1 0.3800 B1 C2 299 N B1->C2
32.0000 R_intersting32 0 1 0.3700 B1 C2 299 N B1->C2
32.1000 R_intersting33 0 1 0.4600 B1 C2 299 N B1->C2
32.2000 R_intersting34 0 1 0.5500 B1 C2 299 N B1->C2
32.3000 R_intersting36 0 1 0.6300 B1 C2 299 N B1->C2
32.4000 R_intersting37 0 1 0.7200 B1 C2 299 N B1->C2
32.5000 R_intersting38 0 1 0.8100 B1 C2 299 N B1->C2
32.6000 R_intersting39 0 1 0.9000 B1 C2 299 N B1->C2
32.7000 R_ctr_intersting3 0 1 0.9900 B1 C2 299 N B1->C2
32.8000 intersting8 1000 1 0.8000 B1 C2 299 N B1->C2
32.9000 R_R_ctr_intersting3 0 1 0.2000 C2 B1 299 N C2->B1
33.0000 R_ackr_intersting8 5000 1 0.2000 C2 B1 299 N C2->B1
33.1000 R_intersting80 5000 1 0.2900 C2 B1 299 N C2->B1
33.2000 R_intersting81 5000 1 0.3800 C2 B1 299 N C2->B1
33.3000 R_intersting82 5000 1 0.4700 C2 B1 299 N C2->B1
33.4000 R_intersting83 5000 1 0.5600 C2 B1 299 N C2->B1
33.5000 R_intersting84 5000 1 0.6500 C2 B1 299 N C2->B1
33.6000 R_intersting85 5000 1 0.7400 C2 B1 299 N C2->B1
33.7000 R_intersting86 5000 1 0.8300 C2 B1 299 N C2->B1
33.8000 R_intersting87 5000 1 0.9200 C2 B1 299 N C2->B1
33.9000 R_intersting88 5000 1 1.0100 C2 B1 299 N C2->B1
34.0000 R_intersting89 5000 1 1.1000 C2 B1 299 N C2->B1
34.1000 R_ctr_intersting8 5000 1 1.1900 C2 B1 299 N C2->B1
34.3000 R_R_R_ctr_intersting35 0 1 1.4000 B1 C2 299 N B1->C2
34.4000 R_R_R_ctr_intersting3 0 1 1.4900 B1 C2 299 N B1->C2
34.5000 R_R_ctr_intersting8 0 1 0.4000 B1 C2 299 N B1->C2
34.6000 R_R_R_R_ctr_intersting3 0 1 0.2000 C2 B1 299 N C2->B1
36.1000 intersting9 1000 1 0.1000 B1 C2 299 N B1->C2
36.2000 R_ackr_intersting9 5000 1 0.1000 C2 B1 299 N C2->B1
36.3000 R_intersting90 5000 1 0.1900 C2 B1 299 N C2->B1
36.4000 R_intersting91 5000 1 0.2800 C2 B1 299 N C2->B1
36.5000 R_intersting92 5000 1 0.3700 C2 B1 299 N C2->B1
36.6000 R_intersting93 5000 1 0.4600 C2 B1 299 N C2->B1
36.7000 R_intersting94 5000 1 0.5500 C2 B1 299 N C2->B1
36.8000 R_intersting95 5000 1 0.6400 C2 B1 299 N C2->B1
36.9000 R_intersting96 5000 1 0.7300 C2 B1 299 N C2->B1
37.0000 R_intersting97 5000 1 0.8200 C2 B1 299 N C2->B1
37.1000 R_intersting98 5000 1 0.9100 C2 B1 299 N C2->B1
37.2000 R_intersting99 5000 1 1.0000 C2 B1 299 N C2->B1
37.3000 R_ctr_intersting9 5000 1 1.0900 C2 B1 299 N C2->B1
37.5000 R_R_ctr_intersting9 0 1 0.2000 B1 C2 299 N B1->C2
40.1000 intersting10 1000 1 0.1000 B1 A0 299 N B1->A0
40.3000 R_ackr_intersting10 5000 1 0.2000 A0 B1 299 N A0->B1
40.4000 R_intersting100 5000 1 0.2900 A0 B1 299 N A0->B1
40.5000 R_intersting101 5000 1 0.3800 A0 B1 299 N A0->B1
40.6000 R_intersting102 5000 1 0.4700 A0 B1 299 N A0->B1
40.7000 R_intersting103 5000 1 0.5600 A0 B1 299 N A0->B1
40.8000 R_intersting104 5000 1 0.6500 A0 B1 299 N A0->B1
40.9000 R_intersting105 5000 1 0.7400 A0 B1 299 N A0->B1
41.0000 R_intersting106 5000 1 0.8300 A0 B1 299 N A0->B1
41.1000 R_intersting107 5000 1 0.9200 A0 B1 299 N A0->B1
41.2000 R_intersting108 5000 1 1.0100 A0 B1 299 N A0->B1
41.3000 R_intersting109 5000 1 1.1000 A0 B1 299 N A0->B1
41.4000 R_ctr_intersting10 5000 1 1.1900 A0 B1 299 N A0->B1
41.5000 R_R_ctr_intersting10 0 1 0.1000 B1 A0 299 N B1->A0
44.1000 intersting11 1000 1 0.1000 B1 C2 299 N B1->C2
44.3000 R_ackr_intersting11 5000 1 0.2000 C2 B1 299 N C2->B1
44.4000 R_intersting110 5000 1 0.2900 C2 B1 299 N C2->B1
44.5000 R_intersting111 5000 1 0.3800 C2 B1 299 N C2->B1
44.6000 R_intersting112 5000 1 0.4700 C2 B1 299 N C2->B1
44.7000 R_intersting113 5000 1 0.5600 C2 B1 299 N C2->B1
44.8000 R_intersting114 5000 1 0.6500 C2 B1 299 N C2->B1
44.9000 R_intersting115 5000 1 0.7400 C2 B1 299 N C2->B1
45.0000 R_intersting116 5000 1 0.8300 C2 B1 299 N C2->B1
45.1000 R_intersting117 5000 1 0.9200 C2 B1 299 N C2->B1
45.2000 R_intersting118 5000 1 1.0100 C2 B1 299 N C2->B1
45.3000 R_intersting119 5000 1 1.1000 C2 B1 299 N C2->B1
45.4000 R_ctr_intersting11 5000 1 1.1900 C2 B1 299 N C2->B1
45.6000 R_R_ctr_intersting11 0 1 0.2000 B1 C2 299 N B1->C2
52.2000 R_ackr_intersting13 5000 1 0.1000 B1 A0 299 N B1->A0
52.3000 intersting13 1000 2 0.1900 A0 C2 299 N A0->B1->C2
53.5000 R_R_ctr_intersting13 0 1 0.1000 B1 C2 299 N B1->C2
53.6000 R_R_R_ctr_intersting134 0 1 0.1000 C2 B1 299 N C2->B1
