# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4.2000 intersting1 1000 2 0.2000 A0 C2 299 N A0->B1->C2
4.3000 R_intersting1 1654 1 0.2000 B1 A0 299 Y B1->A0
8.1000 intersting2 1000 1 0.1000 A0 B1 299 N A0->B1
8.2000 R_intersting2 1981 1 0.1000 B1 A0 299 Y B1->A0
12.1000 intersting3 1000 1 0.1000 A0 B1 299 N A0->B1
12.2000 R_intersting3 1981 1 0.1000 B1 A0 299 Y B1->A0
16.1000 intersting4 1000 1 0.1000 A0 B1 299 N A0->B1
16.3000 R_intersting4 2784 1 0.2000 B1 A0 299 Y B1->A0
20.1000 intersting5 1000 1 0.1000 A0 B1 299 N A0->B1
20.3000 R_intersting5 2325 1 0.2000 B1 A0 299 Y B1->A0
24.2000 R_intersting6 1654 1 0.1000 B1 A0 299 Y B1->A0
28.1000 intersting7 1000 1 0.1000 A0 B1 299 N A0->B1
28.3000 R_intersting7 2784 1 0.2000 B1 A0 299 Y B1->A0
32.1000 intersting8 1000 1 0.1000 A0 B1 299 N A0->B1
32.2000 R_intersting8 4883 1 0.1000 B1 A0 299 Y B1->A0
36.1000 intersting9 1000 1 0.1000 A0 B1 299 N A0->B1
36.3000 R_intersting9 2325 1 0.2000 B1 A0 299 Y B1->A0
44.1000 intersting11 1000 1 0.1000 A0 B1 299 N A0->B1
44.3000 R_intersting11 4883 1 0.2000 B1 A0 299 Y B1->A0
48.1000 intersting12 1000 1 0.1000 A0 B1 299 N A0->B1
48.2000 R_intersting12 2325 1 0.1000 B1 A0 299 Y B1->A0
52.1000 intersting13 1000 1 0.1000 A0 B1 299 N A0->B1
52.2000 R_intersting13 2784 1 0.1000 B1 A0 299 Y B1->A0
56.2000 intersting14 1000 2 0.2000 A0 C2 299 N A0->B1->C2
56.3000 R_intersting14 1064 1 0.2000 B1 A0 299 Y B1->A0
60.1000 intersting15 1000 1 0.1000 A0 B1 299 N A0->B1
60.2000 R_intersting15 2784 1 0.1000 B1 A0 299 Y B1->A0
64.1000 intersting16 1000 1 0.1000 A0 B1 299 N A0->B1
64.2000 R_intersting16 1981 1 0.1000 B1 A0 299 Y B1->A0
68.2000 R_intersting17 1654 1 0.1000 B1 A0 299 Y B1->A0
76.1000 intersting19 1000 1 0.1000 A0 B1 299 N A0->B1
76.3000 R_intersting19 2949 1 0.2000 B1 A0 299 Y B1->A0
80.1000 intersting20 1000 1 0.1000 A0 B1 299 N A0->B1
80.3000 R_intersting20 4883 1 0.2000 B1 A0 299 Y B1->A0
84.1000 intersting21 1000 1 0.1000 A0 B1 299 N A0->B1
84.3000 R_intersting21 1981 1 0.2000 B1 A0 299 Y B1->A0
88.1000 intersting22 1000 1 0.1000 A0 B1 299 N A0->B1
88.3000 R_intersting22 4548 1 0.2000 B1 A0 299 Y B1->A0
92.1000 intersting23 1000 1 0.1000 A0 B1 299 N A0->B1
92.2000 R_intersting23 2325 1 0.1000 B1 A0 299 Y B1->A0
96.1000 intersting24 1000 1 0.1000 A0 B1 299 N A0->B1
96.2000 R_intersting24 4883 1 0.1000 B1 A0 299 Y B1->A0
100.1000 intersting25 1000 1 0.1000 A0 B1 299 N A0->B1
100.2000 R_intersting25 1981 1 0.1000 B1 A0 299 Y B1->A0
104.1000 intersting26 1000 1 0.1000 A0 B1 299 N A0->B1
104.3000 R_intersting26 2784 1 0.2000 B1 A0 299 Y B1->A0
108.3000 R_intersting27 1654 1 0.2000 B1 A0 299 Y B1->A0
112.1000 intersting28 1000 1 0.1000 A0 B1 299 N A0->B1
112.3000 R_intersting28 1981 1 0.2000 B1 A0 299 Y B1->A0
120.1000 intersting30 1000 1 0.1000 A0 B1 299 N A0->B1
120.3000 R_intersting30 4883 1 0.2000 B1 A0 299 Y B1->A0
124.3000 R_intersting31 1064 1 0.2000 B1 A0 299 Y B1->A0
128.1000 intersting32 1000 1 0.1000 A0 B1 299 N A0->B1
128.2000 R_intersting32 2325 1 0.1000 B1 A0 299 Y B1->A0
132.1000 intersting33 1000 1 0.1000 A0 B1 299 N A0->B1
132.3000 R_intersting33 2325 1 0.2000 B1 A0 299 Y B1->A0
136.1000 intersting34 1000 1 0.1000 A0 B1 299 N A0->B1
136.2000 R_intersting34 4548 1 0.1000 B1 A0 299 Y B1->A0
140.1000 intersting35 1000 1 0.1000 A0 B1 299 N A0->B1
140.2000 R_intersting35 2949 1 0.1000 B1 A0 299 Y B1->A0
152.1000 intersting38 1000 1 0.1000 A0 B1 299 N A0->B1
152.2000 R_intersting38 4883 1 0.1000 B1 A0 299 Y B1->A0
160.2000 R_intersting40 1654 1 0.1000 B1 A0 299 Y B1->A0
164.2000 R_intersting41 1654 1 0.1000 B1 A0 299 Y B1->A0
172.1000 intersting43 1000 1 0.1000 A0 B1 299 N A0->B1
172.2000 R_intersting43 2325 1 0.1000 B1 A0 299 Y B1->A0
176.1000 intersting44 1000 1 0.1000 A0 B1 299 N A0->B1
176.3000 R_intersting44 4883 1 0.2000 B1 A0 299 Y B1->A0
180.1000 intersting45 1000 1 0.1000 A0 B1 299 N A0->B1
180.3000 R_intersting45 2949 1 0.2000 B1 A0 299 Y B1->A0
184.1000 intersting46 1000 1 0.1000 A0 B1 299 N A0->B1
184.2000 R_intersting46 2325 1 0.1000 B1 A0 299 Y B1->A0
188.1000 intersting47 1000 1 0.1000 A0 B1 299 N A0->B1
188.2000 R_intersting47 2325 1 0.1000 B1 A0 299 Y B1->A0
192.1000 intersting48 1000 1 0.1000 A0 B1 299 N A0->B1
192.2000 R_intersting48 1981 1 0.1000 B1 A0 299 Y B1->A0
196.1000 intersting49 1000 1 0.1000 A0 B1 299 N A0->B1
196.2000 R_intersting49 2784 1 0.1000 B1 A0 299 Y B1->A0
200.1000 intersting50 1000 1 0.1000 A0 B1 299 N A0->B1
200.2000 R_intersting50 1981 1 0.1000 B1 A0 299 Y B1->A0
