# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8.1000 intersting2 1000 1 0.1000 B1 A0 299 N B1->A0
8.3000 R_ackr_intersting2 5000 1 0.2000 A0 B1 299 N A0->B1
8.4000 R_intersting20 5000 1 0.2900 A0 B1 299 N A0->B1
8.5000 R_intersting21 5000 1 0.3800 A0 B1 299 N A0->B1
8.6000 R_intersting22 5000 1 0.4700 A0 B1 299 N A0->B1
8.7000 R_intersting23 5000 1 0.5600 A0 B1 299 N A0->B1
8.8000 R_intersting24 5000 1 0.6500 A0 B1 299 N A0->B1
8.9000 R_intersting25 5000 1 0.7400 A0 B1 299 N A0->B1
9.0000 R_intersting26 5000 1 0.8300 A0 B1 299 N A0->B1
9.1000 R_intersting27 5000 1 0.9200 A0 B1 299 N A0->B1
9.2000 R_intersting28 5000 1 1.0100 A0 B1 299 N A0->B1
9.3000 R_intersting29 5000 1 1.1000 A0 B1 299 N A0->B1
9.4000 R_ctr_intersting2 5000 1 1.1900 A0 B1 299 N A0->B1
9.5000 R_R_ctr_intersting2 0 1 0.1000 B1 A0 299 N B1->A0
12.1000 intersting3 1000 1 0.1000 C2 B1 299 N C2->B1
12.3000 R_ackr_intersting3 5000 1 0.2000 B1 C2 299 N B1->C2
12.4000 R_intersting30 5000 1 0.2900 B1 C2 299 N B1->C2
12.5000 R_intersting31 5000 1 0.3800 B1 C2 299 N B1->C2
12.6000 R_intersting32 5000 1 0.4700 B1 C2 299 N B1->C2
12.7000 R_intersting33 5000 1 0.5600 B1 C2 299 N B1->C2
12.8000 R_intersting34 5000 1 0.6500 B1 C2 299 N B1->C2
12.9000 R_intersting35 5000 1 0.7400 B1 C2 299 N B1->C2
13.0000 R_intersting36 5000 1 0.8300 B1 C2 299 N B1->C2
13.1000 R_intersting37 5000 1 0.9200 B1 C2 299 N B1->C2
13.2000 R_intersting38 5000 1 1.0100 B1 C2 299 N B1->C2
13.3000 R_intersting39 5000 1 1.1000 B1 C2 299 N B1->C2
13.4000 R_ctr_intersting3 5000 1 1.1900 B1 C2 299 N B1->C2
13.5000 R_R_ctr_intersting3 0 1 0.1000 C2 B1 299 N C2->B1
16.1000 intersting4 1000 1 0.1000 A0 B1 299 N A0->B1
16.3000 R_ackr_intersting4 5000 1 0.2000 B1 A0 299 N B1->A0
16.4000 R_intersting40 5000 1 0.2900 B1 A0 299 N B1->A0
16.5000 R_intersting41 5000 1 0.3800 B1 A0 299 N B1->A0
16.6000 R_intersting42 5000 1 0.4700 B1 A0 299 N B1->A0
16.7000 R_intersting43 5000 1 0.5600 B1 A0 299 N B1->A0
16.8000 R_intersting44 5000 1 0.6500 B1 A0 299 N B1->A0
16.9000 R_intersting45 5000 1 0.7400 B1 A0 299 N B1->A0
17.0000 R_intersting46 5000 1 0.8300 B1 A0 299 N B1->A0
17.1000 R_intersting47 5000 1 0.9200 B1 A0 299 N B1->A0
17.2000 R_intersting48 5000 1 1.0100 B1 A0 299 N B1->A0
17.3000 R_intersting49 5000 1 1.1000 B1 A0 299 N B1->A0
17.4000 R_ctr_intersting4 5000 1 1.1900 B1 A0 299 N B1->A0
17.6000 R_R_ctr_intersting4 0 1 0.2000 A0 B1 299 N A0->B1
20.3000 R_ackr_intersting5 5000 1 0.2000 B1 C2 299 N B1->C2
20.4000 intersting5 1000 2 0.2900 C2 A0 299 N C2->B1->A0
20.5000 R_ackr_intersting5 5000 1 0.1000 A0 B1 299 N A0->B1
21.6000 R_R_ctr_intersting5 0 1 0.1000 B1 A0 299 N B1->A0
21.8000 R_R_R_ctr_intersting56 0 1 0.2000 A0 B1 299 N A0->B1
21.9000 R_R_R_ctr_intersting5 0 1 0.2900 A0 B1 299 N A0->B1
22.0000 R_R_R_R_ctr_intersting5 0 1 0.1000 B1 A0 299 N B1->A0
22.1000 R_intersting50 5000 2 0.1900 B1 C2 299 N B1->B1->C2
22.2000 R_intersting51 5000 2 0.2800 B1 C2 299 N B1->B1->C2
22.3000 R_intersting52 5000 2 0.3700 B1 C2 299 N B1->B1->C2
22.4000 R_intersting53 5000 2 0.4600 B1 C2 299 N B1->B1->C2
22.5000 R_intersting54 5000 2 0.5500 B1 C2 299 N B1->B1->C2
22.6000 R_intersting55 5000 2 0.6400 B1 C2 299 N B1->B1->C2
22.7000 R_R_R_ctr_intersting56 0 2 0.7300 B1 C2 299 N B1->B1->C2
22.8000 R_intersting57 5000 2 0.8200 B1 C2 299 N B1->B1->C2
22.9000 R_intersting58 5000 2 0.9100 B1 C2 299 N B1->B1->C2
23.0000 R_intersting59 5000 2 1.0000 B1 C2 299 N B1->B1->C2
23.1000 R_ctr_intersting5 0 2 1.0900 B1 C2 299 N B1->B1->C2
23.3000 R_R_ctr_intersting5 0 1 0.2000 C2 B1 299 N C2->B1
28.2000 R_ackr_intersting7 5000 1 0.1000 B1 C2 299 N B1->C2
28.3000 intersting7 1000 2 0.1900 C2 A0 299 N C2->B1->A0
28.4000 R_ackr_intersting7 5000 1 0.1000 A0 B1 299 N A0->B1
29.6000 R_R_ctr_intersting7 0 1 0.1000 B1 A0 299 N B1->A0
29.7000 R_intersting70 5000 2 0.1900 B1 C2 299 N B1->B1->C2
29.8000 R_intersting71 5000 2 0.2800 B1 C2 299 N B1->B1->C2
29.9000 R_intersting72 5000 2 0.3700 B1 C2 299 N B1->B1->C2
30.0000 R_intersting73 5000 2 0.4600 B1 C2 299 N B1->B1->C2
30.1000 R_intersting74 5000 2 0.5500 B1 C2 299 N B1->B1->C2
30.2000 R_intersting75 5000 2 0.6400 B1 C2 299 N B1->B1->C2
30.3000 R_intersting76 5000 2 0.7300 B1 C2 299 N B1->B1->C2
30.4000 R_intersting77 5000 2 0.8200 B1 C2 299 N B1->B1->C2
30.5000 R_intersting78 5000 2 0.9100 B1 C2 299 N B1->B1->C2
30.6000 R_intersting79 5000 2 1.0000 B1 C2 299 N B1->B1->C2
30.7000 R_ctr_intersting7 5000 2 1.0900 B1 C2 299 N B1->B1->C2
30.9000 R_R_ctr_intersting7 0 1 0.2000 C2 B1 299 N C2->B1
36.1000 intersting9 1000 1 0.1000 B1 C2 299 N B1->C2
36.2000 R_ackr_intersting9 5000 1 0.1000 C2 B1 299 N C2->B1
36.3000 R_intersting90 5000 1 0.1900 C2 B1 299 N C2->B1
36.4000 R_intersting91 5000 1 0.2800 C2 B1 299 N C2->B1
36.5000 R_intersting92 5000 1 0.3700 C2 B1 299 N C2->B1
36.6000 R_intersting93 5000 1 0.4600 C2 B1 299 N C2->B1
36.7000 R_intersting94 5000 1 0.5500 C2 B1 299 N C2->B1
36.8000 R_intersting95 5000 1 0.6400 C2 B1 299 N C2->B1
36.9000 R_intersting96 5000 1 0.7300 C2 B1 299 N C2->B1
37.0000 R_intersting97 5000 1 0.8200 C2 B1 299 N C2->B1
37.1000 R_intersting98 5000 1 0.9100 C2 B1 299 N C2->B1
37.2000 R_intersting99 5000 1 1.0000 C2 B1 299 N C2->B1
37.3000 R_ctr_intersting9 5000 1 1.0900 C2 B1 299 N C2->B1
37.5000 R_R_ctr_intersting9 0 1 0.2000 B1 C2 299 N B1->C2
48.1000 intersting12 1000 1 0.1000 A0 B1 299 N A0->B1
48.2000 R_ackr_intersting12 5000 1 0.1000 B1 A0 299 N B1->A0
48.3000 R_intersting120 5000 1 0.1900 B1 A0 299 N B1->A0
48.4000 R_intersting121 5000 1 0.2800 B1 A0 299 N B1->A0
48.5000 R_intersting122 5000 1 0.3700 B1 A0 299 N B1->A0
48.6000 R_intersting123 5000 1 0.4600 B1 A0 299 N B1->A0
48.7000 R_intersting124 5000 1 0.5500 B1 A0 299 N B1->A0
48.8000 R_intersting125 5000 1 0.6400 B1 A0 299 N B1->A0
48.9000 R_intersting126 5000 1 0.7300 B1 A0 299 N B1->A0
49.0000 R_intersting127 5000 1 0.8200 B1 A0 299 N B1->A0
49.1000 R_intersting128 5000 1 0.9100 B1 A0 299 N B1->A0
49.2000 R_intersting129 5000 1 1.0000 B1 A0 299 N B1->A0
49.3000 R_ctr_intersting12 5000 1 1.0900 B1 A0 299 N B1->A0
49.4000 R_R_ctr_intersting12 0 1 0.1000 A0 B1 299 N A0->B1
52.2000 R_ackr_intersting13 5000 1 0.1000 B1 A0 299 N B1->A0
52.3000 intersting13 1000 2 0.1900 A0 C2 299 N A0->B1->C2
52.5000 R_ackr_intersting13 5000 1 0.2000 C2 B1 299 N C2->B1
53.7000 R_R_ctr_intersting13 0 1 0.1000 B1 C2 299 N B1->C2
53.8000 R_intersting130 5000 2 0.1900 B1 A0 299 N B1->B1->A0
53.9000 R_intersting131 5000 2 0.2800 B1 A0 299 N B1->B1->A0
54.0000 R_intersting132 5000 2 0.3700 B1 A0 299 N B1->B1->A0
54.1000 R_intersting133 5000 2 0.4600 B1 A0 299 N B1->B1->A0
54.2000 R_intersting134 5000 2 0.5500 B1 A0 299 N B1->B1->A0
54.3000 R_intersting135 5000 2 0.6400 B1 A0 299 N B1->B1->A0
54.4000 R_intersting136 5000 2 0.7300 B1 A0 299 N B1->B1->A0
54.5000 R_intersting137 5000 2 0.8200 B1 A0 299 N B1->B1->A0
54.6000 R_intersting138 5000 2 0.9100 B1 A0 299 N B1->B1->A0
54.7000 R_intersting139 5000 2 1.0000 B1 A0 299 N B1->B1->A0
54.8000 R_ctr_intersting13 5000 2 1.0900 B1 A0 299 N B1->B1->A0
55.0000 R_R_ctr_intersting13 0 1 0.2000 A0 B1 299 N A0->B1
60.3000 R_ackr_intersting15 5000 1 0.2000 B1 C2 299 N B1->C2
60.4000 intersting15 1000 2 0.2900 C2 A0 299 N C2->B1->A0
60.6000 R_ackr_intersting15 5000 1 0.2000 A0 B1 299 N A0->B1
61.8000 R_R_ctr_intersting15 0 1 0.1000 B1 A0 299 N B1->A0
61.9000 R_intersting150 5000 2 0.1900 B1 C2 299 N B1->B1->C2
62.0000 R_intersting151 5000 2 0.2800 B1 C2 299 N B1->B1->C2
62.1000 R_intersting152 5000 2 0.3700 B1 C2 299 N B1->B1->C2
62.2000 R_intersting153 5000 2 0.4600 B1 C2 299 N B1->B1->C2
62.3000 R_intersting154 5000 2 0.5500 B1 C2 299 N B1->B1->C2
62.4000 R_intersting155 5000 2 0.6400 B1 C2 299 N B1->B1->C2
62.5000 R_intersting156 5000 2 0.7300 B1 C2 299 N B1->B1->C2
62.6000 R_intersting157 5000 2 0.8200 B1 C2 299 N B1->B1->C2
62.7000 R_intersting158 5000 2 0.9100 B1 C2 299 N B1->B1->C2
62.8000 R_intersting159 5000 2 1.0000 B1 C2 299 N B1->B1->C2
62.9000 R_ctr_intersting15 5000 2 1.0900 B1 C2 299 N B1->B1->C2
63.0000 R_R_ctr_intersting15 0 1 0.1000 C2 B1 299 N C2->B1
76.3000 R_ackr_intersting19 5000 1 0.2000 B1 A0 299 N B1->A0
76.4000 intersting19 1000 2 0.2900 A0 C2 299 N A0->B1->C2
76.5000 R_ackr_intersting19 5000 1 0.1000 C2 B1 299 N C2->B1
77.7000 R_R_ctr_intersting19 0 1 0.1000 B1 C2 299 N B1->C2
77.8000 R_intersting190 5000 2 0.1900 B1 A0 299 N B1->B1->A0
77.9000 R_intersting191 5000 2 0.2800 B1 A0 299 N B1->B1->A0
78.0000 R_intersting192 5000 2 0.3700 B1 A0 299 N B1->B1->A0
78.1000 R_intersting193 5000 2 0.4600 B1 A0 299 N B1->B1->A0
78.2000 R_intersting194 5000 2 0.5500 B1 A0 299 N B1->B1->A0
78.3000 R_intersting195 5000 2 0.6400 B1 A0 299 N B1->B1->A0
78.4000 R_intersting196 5000 2 0.7300 B1 A0 299 N B1->B1->A0
78.5000 R_intersting197 5000 2 0.8200 B1 A0 299 N B1->B1->A0
78.6000 R_intersting198 5000 2 0.9100 B1 A0 299 N B1->B1->A0
78.7000 R_intersting199 5000 2 1.0000 B1 A0 299 N B1->B1->A0
84.1000 intersting21 1000 1 0.1000 B1 A0 299 N B1->A0
84.2000 R_ackr_intersting21 5000 1 0.1000 A0 B1 299 N A0->B1
84.3000 R_intersting210 5000 1 0.1900 A0 B1 299 N A0->B1
84.4000 R_intersting211 5000 1 0.2800 A0 B1 299 N A0->B1
84.5000 R_intersting212 5000 1 0.3700 A0 B1 299 N A0->B1
84.6000 R_intersting213 5000 1 0.4600 A0 B1 299 N A0->B1
84.7000 R_intersting214 5000 1 0.5500 A0 B1 299 N A0->B1
84.8000 R_intersting215 5000 1 0.6400 A0 B1 299 N A0->B1
84.9000 R_intersting216 5000 1 0.7300 A0 B1 299 N A0->B1
85.0000 R_intersting217 5000 1 0.8200 A0 B1 299 N A0->B1
85.1000 R_intersting218 5000 1 0.9100 A0 B1 299 N A0->B1
85.2000 R_intersting219 5000 1 1.0000 A0 B1 299 N A0->B1
85.3000 R_ctr_intersting21 5000 1 1.0900 A0 B1 299 N A0->B1
85.5000 R_R_ctr_intersting21 0 1 0.2000 B1 A0 299 N B1->A0
88.3000 R_ackr_intersting22 5000 1 0.2000 B1 C2 299 N B1->C2
88.4000 intersting22 1000 2 0.2900 C2 A0 299 N C2->B1->A0
