# messageDelay  cumulativeProbability
0.0000 0.0003
0.0900 0.0006
0.0900 0.0008
0.0900 0.0011
0.0900 0.0014
0.0900 0.0017
0.1000 0.0020
0.1000 0.0023
0.1000 0.0025
0.1000 0.0028
0.1000 0.0031
0.1000 0.0034
0.1000 0.0037
0.1000 0.0040
0.1000 0.0042
0.1000 0.0045
0.1000 0.0048
0.1000 0.0051
0.1000 0.0054
0.1000 0.0057
0.1000 0.0059
0.1000 0.0062
0.1000 0.0065
0.1000 0.0068
0.1000 0.0071
0.1000 0.0074
0.1000 0.0076
0.1000 0.0079
0.1000 0.0082
0.1000 0.0085
0.1000 0.0088
0.1000 0.0091
0.1000 0.0093
0.1000 0.0096
0.1000 0.0099
0.1000 0.0102
0.1000 0.0105
0.1000 0.0108
0.1000 0.0110
0.1000 0.0113
0.1000 0.0116
0.1000 0.0119
0.1000 0.0122
0.1000 0.0125
0.1000 0.0127
0.1000 0.0130
0.1000 0.0133
0.1000 0.0136
0.1000 0.0139
0.1000 0.0141
0.1000 0.0144
0.1000 0.0147
0.1000 0.0150
0.1000 0.0153
0.1000 0.0156
0.1000 0.0158
0.1000 0.0161
0.1000 0.0164
0.1000 0.0167
0.1000 0.0170
0.1000 0.0173
0.1000 0.0175
0.1000 0.0178
0.1000 0.0181
0.1000 0.0184
0.1000 0.0187
0.1000 0.0190
0.1000 0.0192
0.1000 0.0195
0.1000 0.0198
0.1000 0.0201
0.1000 0.0204
0.1000 0.0207
0.1000 0.0209
0.1000 0.0212
0.1000 0.0215
0.1000 0.0218
0.1000 0.0221
0.1000 0.0224
0.1000 0.0226
0.1000 0.0229
0.1000 0.0232
0.1000 0.0235
0.1000 0.0238
0.1000 0.0241
0.1000 0.0243
0.1000 0.0246
0.1000 0.0249
0.1000 0.0252
0.1000 0.0255
0.1000 0.0257
0.1000 0.0260
0.1000 0.0263
0.1000 0.0266
0.1000 0.0269
0.1000 0.0272
0.1000 0.0274
0.1000 0.0277
0.1000 0.0280
0.1000 0.0283
0.1000 0.0286
0.1000 0.0289
0.1000 0.0291
0.1000 0.0294
0.1000 0.0297
0.1000 0.0300
0.1000 0.0303
0.1000 0.0306
0.1000 0.0308
0.1000 0.0311
0.1000 0.0314
0.1000 0.0317
0.1000 0.0320
0.1000 0.0323
0.1000 0.0325
0.1000 0.0328
0.1000 0.0331
0.1000 0.0334
0.1000 0.0337
0.1000 0.0340
0.1000 0.0342
0.1000 0.0345
0.1000 0.0348
0.1000 0.0351
0.1000 0.0354
0.1000 0.0357
0.1000 0.0359
0.1000 0.0362
0.1000 0.0365
0.1000 0.0368
0.1000 0.0371
0.1000 0.0374
0.1000 0.0376
0.1000 0.0379
0.1000 0.0382
0.1000 0.0385
0.1000 0.0388
